,Unnamed: 0,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
354,354,Lawrence Roberts,PF,24.0,MEM,54.0,18.0,17.9,1.7,3.9,0.452,0.0,0.0,0.0,1.7,3.8,0.456,0.452,1.8,2.4,0.725,1.9,3.0,4.8,0.6,0.7,0.2,0.7,2.5,5.2
355,355,Bernard Robinson,SG-SF,26.0,TOT,31.0,0.0,9.0,0.6,2.0,0.306,0.0,0.1,0.0,0.6,1.9,0.317,0.306,0.7,0.9,0.852,0.3,1.2,1.5,0.6,0.5,0.1,0.5,1.0,2.0
356,356,Clifford Robinson,C,40.0,NJN,50.0,1.0,19.1,1.6,4.4,0.3720000000000001,0.5,1.3,0.379,1.1,3.0,0.368,0.429,0.3,0.7,0.444,0.6,1.8,2.4,1.0,0.2,0.5,0.6,2.0,4.1
357,357,Nate Robinson,PG,22.0,NYK,64.0,5.0,21.2,3.5,8.2,0.434,1.3,3.3,0.39,2.3,4.8,0.465,0.513,1.7,2.2,0.777,0.9,1.5,2.4,1.4,0.8,0.1,1.1,2.5,10.1
358,358,Sergio Rodríguez,PG,20.0,POR,67.0,1.0,12.9,1.5,3.6,0.423,0.4,1.3,0.282,1.1,2.3,0.5,0.473,0.3,0.4,0.8079999999999999,0.3,1.1,1.4,3.3,0.5,0.0,1.1,1.1,3.7
359,359,Rajon Rondo,PG,20.0,BOS,78.0,25.0,23.5,2.4,5.8,0.418,0.1,0.4,0.207,2.3,5.4,0.4320000000000001,0.424,1.5,2.4,0.647,0.9,2.8,3.7,3.8,1.6,0.1,1.8,2.3,6.4
360,360,Jalen Rose,SF,34.0,PHO,29.0,0.0,8.5,1.3,3.0,0.442,0.7,1.6,0.447,0.6,1.3,0.436,0.564,0.4,0.4,0.917,0.1,0.7,0.8,0.6,0.2,0.1,0.3,0.8,3.7
361,361,Malik Rose,PF,32.0,NYK,65.0,2.0,12.5,1.1,2.9,0.39799999999999996,0.0,0.1,0.25,1.1,2.7,0.40399999999999997,0.40299999999999997,0.6,0.8,0.8079999999999999,0.7,2.0,2.7,1.0,0.4,0.1,1.0,1.8,3.0
362,362,Quinton Ross,SG,25.0,LAC,81.0,43.0,21.0,2.2,4.7,0.467,0.0,0.1,0.2,2.2,4.6,0.474,0.47,0.8,1.1,0.782,0.7,1.6,2.3,1.1,0.9,0.4,0.4,2.2,5.2
363,363,Brandon Roy,SG,22.0,POR,57.0,55.0,35.4,6.1,13.4,0.456,1.0,2.6,0.377,5.2,10.9,0.475,0.4920000000000001,3.5,4.2,0.838,1.0,3.4,4.4,4.0,1.2,0.2,2.0,2.4,16.8
364,364,Michael Ruffin,PF,30.0,WAS,30.0,0.0,9.0,0.2,0.6,0.278,0.0,0.0,0.0,0.2,0.6,0.278,0.278,0.2,0.6,0.368,1.2,0.9,2.1,0.2,0.2,0.3,0.4,1.4,0.6
365,365,John Salmons,SG,27.0,SAC,79.0,19.0,27.0,3.0,6.5,0.456,0.5,1.4,0.35700000000000004,2.5,5.1,0.484,0.495,2.0,2.6,0.779,0.6,2.7,3.3,3.2,0.9,0.3,1.5,2.2,8.5
366,366,Jamal Sampson,C,23.0,DEN,22.0,3.0,5.7,0.4,0.6,0.643,0.0,0.0,0.0,0.4,0.6,0.6920000000000001,0.643,0.3,0.6,0.429,0.7,1.5,2.2,0.2,0.1,0.3,0.5,0.8,1.1
367,367,Brian Scalabrine,PF,28.0,BOS,54.0,17.0,19.0,1.4,3.5,0.40299999999999997,0.8,2.0,0.4,0.6,1.5,0.40700000000000003,0.518,0.3,0.4,0.7829999999999999,0.4,1.5,1.9,1.1,0.4,0.3,0.8,2.4,4.0
368,368,Luke Schenscher,C,24.0,POR,11.0,0.0,10.7,0.6,2.1,0.304,0.0,0.0,0.0,0.6,2.1,0.304,0.304,0.5,0.6,0.7140000000000001,0.9,1.4,2.3,0.1,0.2,0.4,0.4,2.3,1.7
